TIME(S),GENERATION,COUNT,MALE%,SIZE,SPEED,V_RADIUS,V_ANGLE,VA_BOOST_LIKELIHOOD,VA_BOOST_STRENGTH,M_ENERGY_TO_OFFSPRING%,F_ENERGY_TO_OFFSPRING%,MTF_OFFSPRING%,M_DESIRABILITY%,F_STANDARDS%,F_GESTATION_PERIOD,MTV_DIG%,MATE_ENERGY_THRESH,BOREDOM_THRESH,EXPLOREMTP
1341,8,50,0.54,2.944196,1.006168,16.3296,9.803307,0,0.1276202,0.3169929,0.2564845,0.5376219,0.4314039,0.7199358,7.079518,0.3717752,0.443903,9.545259,20.00009,
1361,8,48,0.5625,2.924077,1.012771,15.90123,9.865465,0,0.1273387,0.3151397,0.2603031,0.5376287,0.432728,0.7241957,7.182487,0.3694348,0.443622,9.485711,19.84741,
1381,8,49,0.5510204,2.908002,0.963089,16.16311,9.609239,0,0.1271982,0.3187554,0.2651909,0.5431855,0.4370619,0.7358361,7.143475,0.3689144,0.4270647,9.532444,20.04495,
1401,8,47,0.5319149,2.892356,0.9633195,15.96197,9.656496,0,0.1285657,0.3149678,0.274206,0.5610894,0.4413913,0.7323,6.647899,0.3710423,0.4225324,9.333521,19.96551,
1421,8,48,0.5208333,2.879091,0.9639727,15.95169,9.753804,0,0.129355,0.3147609,0.281659,0.5696793,0.4436547,0.7274174,6.626925,0.3749672,0.4222148,9.350419,19.81091,
1441,8,43,0.4883721,2.866045,0.9573613,15.82736,9.650553,0,0.1283233,0.3208501,0.2845315,0.5833796,0.4414761,0.7337738,6.500602,0.3783666,0.4228174,9.7979,19.35669,
1461,8,45,0.4666667,2.841489,0.9524133,15.78918,9.527943,0,0.128024,0.3163875,0.283475,0.5831857,0.4411746,0.7420377,6.417127,0.382404,0.4069629,9.667624,18.66641,
1481,8,49,0.4285714,2.854151,0.9484367,15.46631,9.447337,0,0.1290773,0.2991947,0.2822752,0.5871165,0.4364595,0.7346011,6.387797,0.385284,0.4008262,9.44634,18.33751,
1501,8,50,0.4,2.816823,0.9467808,15.52845,9.255708,0,0.1322149,0.29958,0.2958719,0.5879508,0.4314537,0.7542192,6.320642,0.3870012,0.4006597,10.1156,17.79697,
1521,9,58,0.4655173,2.814052,0.9417638,15.97547,9.054365,0,0.1325522,0.2859483,0.3010894,0.5940728,0.4383084,0.7488791,6.369125,0.3896166,0.4012031,10.53116,18.51479,
1541,9,63,0.4603175,2.803119,0.9360016,16.03612,8.986943,0,0.134736,0.2909712,0.3023111,0.6073794,0.4429152,0.7482544,6.288953,0.3876677,0.3969169,10.60342,17.59416,
